Rank,Building,City,Country,Height (ft),Floors,Built
269,Kai Yuen World Center,Shijiazhuang,China,808,53,2012
269,MetLife Building,New York City,USA,808,59,1963
271,Stock Exchange Plaza,Shenzhen,China,807,51,2012
272,Bloomberg Tower,New York City,USA,806,54,2005
272,Qingdao International Trade Center 1,Qingdao,China,806,50,2012
272,Qingdao International Trade Center 2,Qingdao,China,806,50,2012
275,Federation of Korean Industries Head Office,Seoul,South Korea,805,50,2013
276,AVIC Plaza,Shenzhen,China,804,52,2012
276,JR Central Towers,Nagoya,Japan,804,51,2007
276,Oasis Beach Tower,Dubai,UAE,804,51,2006
276,Al Fattan Tower,Dubai,UAE,804,51,2006
276,Churchill Residency,Dubai,UAE,804,59,2010
276,One Raffles Quay,Singapore,Singapore,804,59,2006
276,The Sail @ Marina Bay,Singapore,Singapore,804,59,2000
283,Moshe Aviv Tower,Ramat Gan,Israel,801,69,2003
283,Varyap Meridian Grand Tower 1,İstanbul,Turkey,801,61,2012
283,AAM Tower,Dubai,UAE,801,46,2008
286,BHP Billiton Tower,Perth,Australia,800,46,2012
287,Maybank Tower,Kuala Lumpur,Malaysia,799,50,1987
288,Soul,Gold Coast,Australia,797,77,2011
288,Soleil,Brisbane,Australia,797,74,2011
288,The Tower,Dubai,UAE,797,54,2002
288,R&amp;F Centre,Guangzhou,China,797,54,2007
288,Dalian Futures Square 1,Dalian,China,797,53,2010
288,Tokyo Metropolitan Government Building,Tokyo,Japan,797,48,1991
288,Citigroup Centre,Sydney,Australia,797,50,2000
288,F&amp;F Tower,Panama City,Panama,797,52,2011
296,Dalian World Trade Centre,Dalian,China,796,61,2000
297,Federation West Tower,Moscow,Russia,795,62,2007
297,Pearl Tower,Panama City,Panama,795,70,2011
299,Torre Waters,Panama City,Panama,794,75,2011
300,IDS Tower,Minneapolis,USA,792,57,1973
300,Mellon Bank Center,Philadelphia,USA,792,54,1990
